Rank	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
431	Staumont, Josh	KC	P	432.67	409	499		6		
432	Brown, Seth	OAK	OF	432.67	405	488		6		
433	Minor, Mike	KC	P	433.50	362	483		6		
434	Suarez, Robert	SD	P	433.50	349	530		6		
435	Moore, Dylan	SEA	2B, OF	433.83	407	471		6		
436	Karinchak, James	CLE	P	435.50	420	450		6		
437	Garcia, Luis	WAS	2B	436.50	399	538		6		
438	Miley, Wade	CHC	P	436.50	402	463		6		
439	Jeffers, Ryan	MIN	C	437.00	398	454		6		
440	Wacha, Michael	BOS	P	438.50	414	469		6		
441	Zimmer, Bradley	CLE	OF	439.67	413	468		6		
442	Kieboom, Carter	WAS	3B	440.17	416	477		6		
443	Colome, Alex	MIN	P	441.33	410	501		6		
444	Mikolas, Miles	STL	P	442.00	398	473		6		
445	Calhoun, Kole	TEX	OF	442.83	395	491		6		
446	Sheets, Gavin	CWS	UT	443.00	422	481		6		
447	Hill, Rich	BOS	P	445.67	423	463		6		
448	Gordon, Nick	MIN	OF	450.67	376	500		6		
449	Garcia, Leury	CWS	2B, OF	452.00	430	481		6		
450	Isbel, Kyle	KC	OF	452.83	432	466		6		
451	Brubaker, JT	PIT	P	454.17	422	479		6		
452	Eflin, Zach	PHI	P	456.67	416	501		6		
453	Bumgarner, Madison	ARZ	P	458.00	409	514		6		
454	Warren, Art	CIN	P	458.00	429	491		6		
455	Kelly, Merrill	ARZ	P	458.33	412	518		6		
456	Cabrera, Miguel	DET	1B	459.67	434	522		6		
457	Severino, Pedro	MLW	C	459.83	442	492		6		
458	Hicks, Aaron	NYY	OF	459.83	417	492		6		
459	Bubic, Kris	KC	P	461.33	455	466		6		
460	Profar, Jurickson	SD	1B, OF	461.50	435	483		6		
461	Martinez, Nick	FA	P	465.33	439	502		6		
462	Pearson, Nate	TOR	P	467.33	422	527		6		
463	Gorman, Nolan	STL	2B	467.33	414	512		6		
464	Stratton, Chris	PIT	P	467.83	443	488		6		
465	Cabrera, Edward	MIA	P	467.83	444	508		6		
466	Odorizzi, Jake	HOU	P	467.83	451	485		6		
467	Alford, Anthony	PIT	OF	468.83	423	491		6		
468	Farmer, Kyle	CIN	SS	469.50	441	515		6		
469	Moreno, Gabriel	TOR	C	470.17	391	518		6		
470	Rodriguez, Grayson	BAL	P	471.17	419	539		6		
471	Espinal, Santiago	TOR	3B	471.17	437	499		6		
472	Sulser, Cole	BAL	P	471.50	389	537		6		
473	Pratto, Nick	KC	1B	472.17	442	500		6		
474	Rosenthal, Trevor	OAK	P	472.50	445	503		6		
475	Yepez, Juan	STL	1B	474.33	442	509		6		
476	Casas, Triston	BOS	1B	479.17	459	497		6		
477	Taveras, Leody	TEX	OF	480.17	401	534		6		
478	La Stella, Tommy	SF	2B	480.67	460	504		6		
479	Thompson, Zach	PIT	P	481.67	437	526		6		
480	Siri, Jose	HOU	OF	482.33	452	553		6		
481	Castro, Willi	DET	2B, SS	483.67	450	505		6		
482	Yarbrough, Ryan	TB	P	484.33	439	531		6		
483	Heuer, Codi	CHC	P	485.00	445	565		6		
484	Cano, Robinson	NYM	2B	485.00	453	506		6		
485	Ahmed, Nick	ARZ	SS	485.50	436	510		6		
486	Boxberger, Brad	MLW	P	488.00	446	565		6		
487	Meyer, Max	MIA	P	488.17	458	523		6		
488	Sanmartin, Reiver	CIN	P	489.17	467	514		6		
489	Fairbanks, Pete	TB	P	490.17	464	509		6		
490	Gil, Luis	NYY	P	493.50	444	539		6		
491	Perez, Roberto	PIT	C	494.50	399	576		6		
492	Murphy, Tom	SEA	C	496.67	439	552		6		
493	Kwan, Steven	CLE	OF	497.00	442	564		6		
494	Suarez, Jose	LAA	P	498.17	465	556		6		
495	Keller, Mitch	PIT	P	500.33	476	529		6		
496	Beede, Tyler	SF	P	500.83	462	524		6		
497	Hand, Brad	NYM	P	501.00	431	540		6		
498	Manning, Matt	DET	P	502.83	460	537		6		
499	Andrus, Elvis	OAK	SS	504.50	450	566		6		
500	Meyers, Jake	HOU	OF	506.00	435	588		6		
501	Chavis, Michael	PIT	2B	506.50	485	519		6		
502	Larnach, Trevor	MIN	OF	506.67	427	596		6		
503	Neris, Hector	HOU	P	507.67	448	568		6		
504	Rios, Edwin	LAD	1B	509.33	495	524		6		
505	Vierling, Matt	PHI	OF	509.67	435	556		6		
506	Diaz, Aledmys	HOU	3B	512.17	482	556		6		
507	Pinder, Chad	OAK	OF	515.00	478	545		6		
508	Irvin, Cole	OAK	P	515.17	486	557		6		
509	Ibanez, Andy	TEX	2B	519.00	470	554		6		
510	Anderson, Tyler	SEA	P	519.50	501	567		6		
511	Hicks, Jordan	STL	P	519.83	473	592		6		
512	Ramirez, Harold	CHC	OF	520.50	428	711		6		
513	Lodolo, Nick	CIN	P	520.50	472	602		6		
514	Lorenzen, Michael	LAA	P	521.17	487	550		6		
515	Miller, Brad	PHI	1B, OF	522.00	480	573		6		
516	Howard, Spencer	TEX	P	522.50	479	577		6		
517	Choi, Ji-Man	TB	1B	524.17	474	569		6		
518	Peterson, Jace	MLW	1B, 2B, OF	524.17	486	590		6		
519	Pina, Manny	ATL	C	524.33	459	569		6		
520	Peterson, David	NYM	P	525.33	500	562		6		
521	Puk, A.J.	OAK	P	526.33	471	564		6		
522	Lynch, Daniel	KC	P	527.50	466	602		6		
523	Diaz, Lewin	MIA	1B	528.67	506	548		6		
524	Stripling, Ross	TOR	P	530.00	492	604		6		
525	Gomber, Austin	COL	P	531.83	496	557		6		
526	Slater, Austin	SF	OF	535.33	494	595		6		
527	McHugh, Collin	TB	P	536.67	496	614		6		
528	Goodrum, Niko	DET	SS	538.00	465	589		6		
529	Maldonado, Martin	HOU	C	538.00	446	604		6		
530	Hudson, Daniel	LAD	P	538.50	507	574		6		
531	Crochet, Garrett	CWS	P	539.83	499	574		6		
532	Fedde, Erick	WAS	P	540.00	495	628		6		
533	Muller, Kyle	ATL	P	541.50	504	577		6		
534	Graveman, Kendall	CWS	P	541.83	480	635		6		
535	Rodriguez, Richard	ATL	P	542.67	505	679		6		
536	Thomas, Alek	ARZ	OF	542.67	498	622		6		
537	Olivares, Edward	KC	OF	543.00	476	607		6		
538	Quintana, Jose	PIT	P	543.50	503	608		6		
539	Walls, Taylor	TB	SS	543.67	483	625		6		
540	Rogers, Tyler	SF	P	543.83	497	600		6		
541	Kiermaier, Kevin	TB	OF	544.00	515	571		6		
542	Freeland, Kyle	COL	P	544.83	525	575		6		
543	Davidson, Tucker	ATL	P	546.33	521	585		6		
544	Soroka, Mike	ATL	P	549.33	457	599		6		
545	Raleigh, Cal	SEA	C	550.33	519	583		6		
546	May, Trevor	NYM	P	550.83	475	651		6		
547	Gutierrez, Vladimir	CIN	P	551.67	528	598		6		
548	Caratini, Victor	SD	C	552.33	522	603		6		
549	Hernandez, Yadiel	WAS	OF	552.50	501	614		6		
550	Escobar, Alcides	WAS	SS	552.83	490	580		6		
551	Smyly, Drew	ATL	P	552.83	502	620		6		
552	Trevino, Jose	TEX	C	554.67	425	635		6		
553	Otto, Glenn	TEX	P	555.50	461	623		6		
554	Lyles, Jordan	BAL	P	556.67	513	589		6		
555	Hearn, Taylor	TEX	P	557.00	491	636		6		
556	Davis, Brennen	CHC	OF	558.33	504	608		6		
557	Cavalli, Cade	WAS	P	559.33	478	637		6		
558	Tucker, Cole	PIT	SS	559.83	489	651		6		
559	Matzek, Tyler	ATL	P	560.33	519	594		6		
560	Lopez, Reynaldo	CWS	P	560.83	519	624		6		
561	Mercado, Oscar	CLE	OF	561.00	502	592		6		
562	Naylor, Josh	CLE	OF	562.33	520	599		6		
563	Reyes, Victor	DET	OF	566.33	495	686		6		
564	Gamel, Ben	PIT	OF	566.50	539	613		6		
565	Beaty, Matt	LAD	1B, OF	567.33	535	620		6		
566	Long, Sammy	SF	P	569.00	519	618		6		
567	Morris, Cody	CLE	P	569.17	540	630		6		
568	Upton, Justin	LAA	OF	569.17	544	602		6		
569	Bradley Jr., Jackie	BOS	OF	571.00	510	636		6		
570	Straily, Dan	FA	P	572.50	517	605		6		
571	Newman, Kevin	PIT	SS	573.83	507	645		6		
572	Alexander, Tyler	DET	P	576.17	548	614		6		
573	Keller, Brad	KC	P	576.33	556	597		6		
574	Duffy, Matt	CHC	2B, 3B	576.50	540	623		6		
575	Campusano, Luis	SD	C	576.83	514	686		6		
576	Tepera, Ryan	CWS	P	577.17	528	620		6		
577	Nunez, Dom	COL	C	577.67	545	608		6		
578	Dunn, Justin	SEA	P	577.67	557	628		6		
579	Nootbaar, Lars	STL	OF	578.33	521	647		6		
580	Munoz, Andres	SEA	P	578.83	562	612		6		
581	Keuchel, Dallas	CWS	P	579.50	555	628		6		
582	Senzatela, Antonio	COL	P	581.67	535	633		6		
583	Beer, Seth	ARZ	UT	581.67	562	606		6		
584	Wright, Kyle	ATL	P	583.00	558	618		6		
585	Thaiss, Matt	LAA	1B	583.50	472	726		6		
586	Alvarado, Jose	PHI	P	585.33	503	652		6		
587	Iglesias, Jose	BOS	SS	588.50	542	676		6		
588	Garcia, Luis	SD	P	589.00	499	703		6		
589	Berti, Jon	MIA	2B, 3B	590.33	466	719		6		
590	Brash, Matt	SEA	P	590.50	502	625		6		
591	Fraley, Jake	SEA	OF	592.00	542	632		6		
592	Huff, Sam	TEX	1B	592.67	514	652		6		
593	Brosseau, Mike	MLW	2B, 3B	593.33	551	658		6		
594	Garcia, Yimi	TOR	P	594.50	558	636		6		
595	Kim, Kwang Hyun	STL	P	597.50	529	627		6		
596	Price, David	LAD	P	598.17	558	673		6		
597	Higashioka, Kyle	NYY	C	599.17	577	655		6		
598	Hedges, Austin	CLE	C	600.83	555	666		6		
599	Dubon, Mauricio	SF	2B, SS, OF	601.17	529	653		6		
600	Duffey, Tyler	MIN	P	603.17	536	681		6		
601	Plawecki, Kevin	BOS	C	604.83	575	659		6		
602	Simmons, Andrelton	MIN	SS	608.33	579	677		6		
603	Burger, Jake	CWS	3B	608.83	533	671		6		
604	Smith, Caleb	ARZ	P	610.17	564	690		6		
605	Duffy, Danny	LAD	P	610.33	528	698		6		
606	Liberatore, Matt	STL	P	614.33	526	665		6		
607	Kirby, George	SEA	P	615.00	566	709		6		
608	Jefferies, Daulton	OAK	P	616.50	585	677		6		
609	Morgan, Eli	CLE	P	618.50	541	665		6		
610	Casali, Curt	SF	C	620.00	586	670		6		
611	White, Mitch	LAD	P	621.17	582	721		6		
612	Barnes, Austin	LAD	C	621.50	573	660		6		
613	Bard, Daniel	COL	P	625.67	527	720		6		
614	Falter, Bailey	PHI	P	626.50	603	653		6		
615	Merryweather, Julian	TOR	P	626.50	563	694		6		
616	Castro, Jason	HOU	C	627.83	555	672		6		
617	Moran, Colin	PIT	1B	629.33	550	691		6		
618	Herrera, Odubel	PHI	OF	630.67	582	722		6		
619	Bummer, Aaron	CWS	P	631.00	586	662		6		
620	Engel, Adam	CWS	OF	631.00	566	744		6		
621	Canning, Griffin	LAA	P	631.33	564	730		6		
622	Stephenson, Robert	COL	P	631.50	538	695		6		
623	Abrams, CJ	SD	SS	632.83	533	708		6		
624	Suter, Brent	MLW	P	632.83	560	670		6		
625	Graterol, Brusdar	LAD	P	634.50	474	692		6		
626	Pagan, Emilio	SD	P	634.83	578	692		6		
627	McKinstry, Zach	LAD	2B, OF	635.67	597	707		6		
628	Arroyo, Christian	BOS	2B	636.17	598	669		6		
629	Pomeranz, Drew	SD	P	637.17	534	702		6		
630	Kowar, Jackson	KC	P	637.50	566	712		6		
631	Chang, Yu	CLE	1B, 3B	637.50	581	672		6		
632	Mills, Alec	CHC	P	637.67	577	700		6		
633	Alexy, A.J.	TEX	P	639.50	608	683		6		
634	Contreras, William	ATL	C	642.67	608	721		6		
635	Phillips, Brett	TB	OF	643.50	540	693		6		
636	Santillan, Tony	CIN	P	644.33	601	652		5		
637	Richards, Trevor	TOR	P	645.00	562	701		5		
638	Pache, Cristian	ATL	OF	646.50	578	720		6		
639	Adams, Riley	WAS	C	647.33	628	685		6		
640	Vesia, Alex	LAD	P	648.50	595	701		6		
641	Lugo, Seth	NYM	P	648.67	593	696		6		
642	Loup, Aaron	LAA	P	650.33	579	711		6		
643	Steele, Justin	CHC	P	652.33	595	686		6		
644	Franco, Maikel	BAL	3B	653.17	591	704		6		
645	Mayers, Mike	LAA	P	654.17	549	715		6		
646	Welker, Colton	COL	3B	657.17	568	743		6		
647	Winn, Cole	TEX	P	657.17	622	707		6		
648	Duggar, Steven	SF	OF	657.33	604	704		6		
649	McCarthy, Jake	ARZ	OF	658.67	572	739		6		
650	Jackson, Luke	ATL	P	658.83	621	700		6		
651	Gore, MacKenzie	SD	P	658.83	613	703		6		
652	Rooker, Brent	MIN	OF	659.00	581	687		5		
653	VanMeter, Josh	ARZ	2B, 3B	662.17	607	720		6		
654	Dobnak, Randy	MIN	P	662.17	586	722		6		
655	Dickerson, Corey	TOR	OF	662.67	628	731		6		
656	Coleman, Dylan	KC	P	663.00	631	690		6		
657	Perdomo, Geraldo	ARZ	SS	664.17	606	742		6		
658	Allen, Greg	PIT	OF	664.50	641	694		6		
659	Jones, Nolan	CLE	3B	665.00	607	691		6		
660	Romero, Tommy	TB	P	666.83	618	703		6		
661	Cousins, Jake	MLW	P	668.83	586	727		6		
662	Adon, Joan	WAS	P	669.67	583	698		5		
663	Cueto, Johnny	SF	P	669.67	567	741		5		
664	Andujar, Miguel	NYY	OF	670.17	645	693		6		
665	Honeywell Jr., Brent	OAK	P	672.50	561	748		6		
666	May, Dustin	LAD	P	673.00	626	644		4		
667	Espino, Paolo	WAS	P	674.00	630	691		5		
668	Gosselin, Phil	LAA	1B, 3B, OF	674.00	588	746		6		
669	Crowe, Wil	PIT	P	675.33	578	743		6		
670	Weathers, Ryan	SD	P	676.00	640	708		6		
671	Piscotty, Stephen	OAK	OF	676.67	600	704		5		
672	Cessa, Luis	CIN	P	677.00	612	702		5		
673	Collins, Zack	CWS	C	679.33	633	733		6		
674	Yajure, Miguel	PIT	P	680.50	620	722		5		
675	Chafin, Andrew	OAK	P	681.00	630	699		5		
676	Wilson, Bryse	PIT	P	681.67	640	718		5		
677	Heyward, Jason	CHC	OF	681.67	631	719		6		
678	Pillar, Kevin	NYM	OF	684.17	641	718		5		
679	Allen, Austin	OAK	C	685.67	655	743		6		
680	Givens, Mychal	CIN	P	686.83	585	750		5		
681	Cabrera, Asdrubal	CIN	3B	687.17	550	710		3		
682	Paxton, James	BOS	P	688.17	649	725		6		
683	Feyereisen, J.P.	TB	P	688.50	667	729		6		
684	Peters, Dillon	PIT	P	689.17	593	646		3		
685	Strider, Spencer	ATL	P	689.33	641	705		5		
686	Toussaint, Touki	ATL	P	689.83	635	729		6		
687	Martin, Corbin	ARZ	P	690.00	636	721		5		
688	Yates, Kirby	ATL	P	690.00	611	734		5		
689	Fortes, Nick	MIA	C	690.50	646	700		5		
690	Swaggerty, Travis	PIT	OF	690.83	610	722		6		
691	Zimmermann, Bruce	BAL	P	691.83	615	645		3		
692	Estrada, Thairo	SF	SS	692.17	615	742		5		
693	Leclerc, Jose	TEX	P	692.33	603	740		4		
694	Stanek, Ryne	HOU	P	692.83	661	732		6		
695	Holmes, Clay	NYY	P	694.50	435	728		2		
696	Hummel, Cooper	ARZ	OF	695.50	575	697		3		
697	Davies, Zach	CHC	P	695.83	626	720		4		
698	Garcia, Deivi	NYY	P	695.83	642	724		6		
699	Knizner, Andrew	STL	C	696.00	653	743		5		
700	Cameron, Daz	DET	OF	696.17	544	724		3		
701	Gilbert, Tyler	ARZ	P	696.83	617	714		4		
702	Lowther, Zac	BAL	P	697.67	671	704		5		
703	Evans, Demarcus	TEX	P	698.50	436	436		1		
704	Richards, Garrett	BOS	P	700.00	603	728		3		
705	Pasquantino, Vinnie	FA	1B	701.00	614	713		4		
706	Paredes, Isaac	DET	2B	701.33	564	737		3		
707	Waters, Drew	ATL	OF	702.00	639	738		6		
708	Aquino, Aristides	CIN	OF	705.50	612	728		5		
709	Diekman, Jake	OAK	P	705.50	640	735		6		
710	Fleming, Josh	TB	P	708.17	656	737		5		
711	White, Evan	SEA	1B	708.17	602	748		4		
712	Hernandez, Yonny	TEX	3B	708.83	635	750		5		
713	Castro, Harold	DET	2B, SS	709.00	590	660		2		
714	Ponce de Leon, Daniel	STL	P	709.83	573	682		2		
715	Lowrie, Jed	OAK	2B	710.00	634	735		3		
716	Ross, Joe	WAS	P	710.33	675	708		4		
717	Maton, Phil	HOU	P	712.00	540	743		3		
718	Rengifo, Luis	LAA	SS	712.33	627	643		2		
719	Ottavino, Adam	BOS	P	713.17	639	718		3		
720	McGuire, Reese	TOR	C	713.33	631	706		3		
721	Dickerson, Alex	SF	OF	713.67	632	728		3		
722	Vilade, Ryan	COL	OF	713.83	682	716		4		
723	Schmidt, Clarke	NYY	P	713.83	654	697		3		
724	Daza, Yonathan	COL	OF	714.17	664	739		5		
725	Garrett, Amir	CIN	P	714.17	631	732		4		
726	Chargois, JT	TB	P	714.83	534	534		1		
727	Adams, Austin	SD	P	715.00	662	745		5		
728	Wisler, Matt	TB	P	716.00	699	730		5		
729	Hall, D.L.	BAL	P	716.50	629	666		2		
730	Bote, David	CHC	2B, 3B	716.50	648	737		4		
731	Camargo, Johan	PHI	1B	717.00	634	664		2		
732	King, Michael	NYY	P	717.67	649	742		5		
733	Martin, Austin	TOR	OF	718.00	637	667		2		
734	Ramos, Heliot	SF	OF	718.50	673	702		3		
735	Fuentes, Joshua	COL	1B, 3B	718.67	561	747		2		
736	Solano, Donovan	SF	2B	719.50	661	711		3		
737	Sheffield, Justus	SEA	P	719.67	668	718		3		
738	Stammen, Craig	SD	P	720.67	695	736		5		
739	Moran, Jovani	MIN	P	721.83	576	576		1		
740	Akin, Keegan	BAL	P	721.83	667	749		4		
741	Dahl, David	TEX	OF	722.83	589	744		2		
742	Boyd, Matthew	DET	P	723.33	687	749		4		
743	Marcano, Tucupita	PIT	2B	724.00	655	726		3		
744	Balazovic, Jordan	MIN	P	724.17	665	733		4		
745	Ward, Taylor	LAA	OF	724.50	619	724		2		
746	Downs, Jeter	BOS	SS	725.67	628	745		3		
747	Acevedo, Domingo	OAK	P	725.67	599	599		1		
748	Cotton, Jharel	MIN	P	725.83	656	695		2		
749	Guerra, Deolis	OAK	P	726.17	602	602		1		
750	Oviedo, Johan	STL	P	726.83	658	699		2		
751	Sadler, Casey	SEA	P	727.00	700	739		5		
752	Sisco, Chance	NYM	C	727.00	607	607		1		
753	Lewis, Royce	MIN	SS	727.17	676	748		4		
754	Luplow, Jordan	ARZ	OF	728.50	679	738		3		
755	Trammell, Taylor	SEA	OF	729.17	698	714		3		
756	Bleday, JJ	MIA	UT	729.33	669	746		3		
757	Florial, Estevan	NYY	OF	729.33	621	621		1		
758	Kilian, Caleb	FA	P	729.50	649	724		2		
759	Allen, Logan T.	FA	P	729.67	707	749		4		
760	Miller, Bobby	LAD	P	729.67	623	623		1		
761	Patton, Spencer	TEX	P	730.00	659	717		2		
762	Scott, Tanner	BAL	P	730.17	699	744		4		
763	Castillo, Diego	PIT	2B	730.50	684	740		4		
764	Allard, Kolby	TEX	P	732.17	695	746		4		
765	Vogelbach, Daniel	MLW	1B	732.50	692	699		2		
766	Peraza, Oswald	NYY	SS	732.50	640	640		1		
767	Smith, Kevin	TOR	3B	732.67	673	719		2		
768	Alberto, Hanser	KC	2B, 3B	732.67	671	721		2		
769	Langeliers, Shea	ATL	C	732.83	681	712		2		
770	Palacios, Richie	CLE	2B	732.83	642	642		1		
771	Vargas, Miguel	LAD	3B	733.33	672	724		2		
772	Raley, Brooks	TB	P	733.33	714	742		5		
773	Park, Hoy	PIT	2B	733.67	696	741		3		
774	Peralta, Wily	DET	P	734.33	696	706		2		
775	Robles, Hansel	BOS	P	734.83	698	736		3		
776	Brentz, Jake	KC	P	735.00	683	723		2		
777	Mercedes, Yermin	CWS	UT	735.67	659	659		1		
778	Kelly, Joe	LAD	P	736.50	667	748		2		
779	Hill, Derek	DET	OF	736.50	664	664		1		
780	Small, Ethan	MLW	P	736.67	665	665		1		
781	Dominguez, Seranthony	PHI	P	737.17	678	741		2		
782	Shaw, Travis	BOS	1B, 3B	737.50	670	670		1		
783	Stewart, DJ	BAL	OF	738.33	675	675		1		
784	Perez, Martin	BOS	P	738.50	676	676		1		
785	Minter, A.J.	ATL	P	738.67	677	677		1		
786	Kingery, Scott	PHI	OF	739.00	679	679		1		
787	Schrock, Max	CIN	OF	739.17	680	680		1		
788	Marchan, Rafael	PHI	C	739.17	680	680		1		
789	Friedl, TJ	CIN	OF	739.50	716	746		3		
790	Davis, Brendon	LAA	3B	739.83	684	684		1		
791	Montero, Elehuris	COL	3B	739.83	684	684		1		
792	Alcantara, Sergio	CHC	2B, SS	740.00	715	721		2		
793	Bukauskas, J.B.	ARZ	P	740.33	687	687		1		
794	Nido, Tomas	NYM	C	740.33	702	736		2		
795	Ramos, Wilson	CLE	C	740.50	688	688		1		
796	Wendelken, J.B.	ARZ	P	740.67	725	750		5		
797	Happ, J.A.	STL	P	740.67	723	749		4		
798	Bauers, Jake	SEA	1B, OF	741.00	691	691		1		
799	Noda, Ryan	LAD	UT	741.17	692	692		1		
800	Leiter Jr., Mark	DET	P	741.17	718	725		2		
801	Widener, Taylor	ARZ	P	741.33	693	693		1		
802	Chirinos, Yonny	TB	P	741.50	694	694		1		
803	Mayfield, Jack	LAA	3B	742.00	697	697		1		
804	Castro, Kervin	SF	P	742.00	719	729		2		
805	Nottingham, Jacob	SEA	UT	742.17	708	741		2		
806	Leon, Pedro	FA	OF	743.17	704	704		1		
807	Anderson, Brett	MLW	P	743.33	705	705		1		
808	Osuna, Roberto	FA	P	743.33	705	705		1		
809	Archer, Chris	TB	P	743.33	726	743		3		
810	Poche, Colin	TB	P	743.67	727	731		2		
811	Vientos, Mark	NYM	UT	744.00	709	709		1		
812	Brogdon, Connor	PHI	P	744.00	729	731		2		
813	Crouse, Hans	PHI	P	744.50	729	734		2		
814	Williamson, Brandon	SEA	P	744.67	717	747		2		
815	Oliva, Jared	PIT	OF	744.83	714	714		1		
816	Solomon, Peter	HOU	P	744.83	720	745		2		
817	Pepiot, Ryan	LAD	P	744.83	727	738		2		
818	Mayza, Tim	TOR	P	745.00	715	715		1		
819	Velazquez, Nelson	CHC	OF	745.33	717	717		1		
820	Stefanic, Michael	FA	2B	745.67	719	719		1		
821	Arias, Gabriel	CLE	SS	745.83	720	720		1		
822	Battenfield, Peyton	FA	P	746.00	721	721		1		
823	Mazara, Nomar	DET	OF	746.33	730	744		2		
824	Cabrera, Genesis	STL	P	746.67	735	741		2		
825	Coonrod, Sam	PHI	P	746.67	725	725		1		
826	Foltynewicz, Mike	TEX	P	746.67	725	725		1		
827	Allen, Logan	CLE	P	746.83	726	726		1		
828	Swanson, Erik	SEA	P	746.83	733	744		2		
829	Gutierrez, Kelvin	BAL	3B	747.00	738	740		2		
830	Pinto, Rene	TB	UT	747.00	727	727		1		
831	Bass, Anthony	MIA	P	747.33	729	729		1		
832	Tate, Dillon	BAL	P	747.50	730	730		1		
833	Morejon, Adrian	SD	P	747.67	731	731		1		
834	James, Josh	HOU	P	747.83	732	732		1		
835	Winder, Josh	MIN	P	748.00	737	747		2		
836	Lopez, Jorge	BAL	P	748.00	733	733		1		
837	Williams, Trevor	NYM	P	748.33	735	735		1		
838	Kahnle, Tommy	LAD	P	748.33	735	735		1		
839	Thielbar, Caleb	MIN	P	748.50	736	736		1		
840	Effross, Scott	CHC	P	748.50	736	736		1		
841	Baty, Brett	NYM	3B	748.83	738	738		1		
842	Woodford, Jake	STL	P	749.00	739	739		1		
843	Wieck, Brad	CHC	P	749.00	739	739		1		
844	Jax, Griffin	MIN	P	749.17	740	740		1		
845	Torreyes, Ronald	PHI	3B, SS	749.17	740	740		1		
846	Kreidler, Ryan	FA	SS	749.50	742	742		1		
847	Smith, Mallex	SEA	OF	749.50	742	742		1		
848	Busch, Michael	LAD	2B	749.83	744	744		1		
849	Freeman, Tyler	CLE	UT	750.00	745	745		1		
850	Seabold, Connor	BOS	P	750.00	745	745		1		
851	Harvey, Matt	BAL	P	750.17	746	746		1		
852	Ramirez, Noe	ARZ	P	750.17	746	746		1		
853	Rojas, Jose	LAA	OF	750.33	747	747		1		
854	Jones, Taylor	HOU	1B	750.33	747	747		1		
855	Leone, Dominic	SF	P	750.50	748	748		1		
856	Brault, Steven	PIT	P	750.50	748	748		1		
857	Groshans, Jordan	TOR	SS	750.67	749	749		1		
858	White, Colby	FA	P	750.67	749	749		1		
859	Heasley, Jon	KC	P	750.83	750	750		1		
860	Posey, Buster	SF	C	750.83	750	750		1		
